emoji_slug_hash,emoji_slug,image_type,filename,file_path,exists
-6313905633234430306,man-pilot-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot-light-skin-tone/man_flat_light.webp,no
3070052418683050365,man-pilot-medium-dark-skin-tone,ms-fluentui,man_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot-medium-dark-skin-tone/man_flat_medium-dark.webp,no
-2444042666349785253,man-pilot-medium-light-skin-tone,ms-fluentui,man_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot-medium-light-skin-tone/man_flat_light.webp,no
-5990134634061030579,man-pilot-medium-skin-tone,ms-fluentui,man_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-pilot-medium-skin-tone/man_flat_medium.webp,no
-9038513018677410326,man-playing-handball,ms-fluentui,man_playing_handball_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball/man_playing_handball_high_contrast_default.webp,no
-5749616944409830430,man-playing-handball-dark-skin-tone,ms-fluentui,person_playing_handball_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball-dark-skin-tone/person_playing_handball_flat_dark.webp,no
-4490721384639532607,man-playing-handball-light-skin-tone,ms-fluentui,person_playing_handball_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball-light-skin-tone/person_playing_handball_flat_light.webp,no
-8233383355299981926,man-playing-handball-medium-dark-skin-tone,ms-fluentui,person_playing_handball_flat_medium-dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball-medium-dark-skin-tone/person_playing_handball_flat_medium-dark.webp,no
-2082904625534318624,man-playing-handball-medium-light-skin-tone,ms-fluentui,person_playing_handball_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball-medium-light-skin-tone/person_playing_handball_flat_light.webp,no
3115765473659333379,man-playing-handball-medium-skin-tone,ms-fluentui,person_playing_handball_flat_medium.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-handball-medium-skin-tone/person_playing_handball_flat_medium.webp,no
-4960199643619313271,man-playing-water-polo,ms-fluentui,man_playing_water_polo_high_contrast_default.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-water-polo/man_playing_water_polo_high_contrast_default.webp,no
1191501896828317839,man-playing-water-polo-dark-skin-tone,ms-fluentui,person_playing_water_polo_flat_dark.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-water-polo-dark-skin-tone/person_playing_water_polo_flat_dark.webp,no
-6660583605289401141,man-playing-water-polo-light-skin-tone,ms-fluentui,person_playing_water_polo_flat_light.webp,/home/lovestaco/hex/fdt-templ/public/emojis/man-playing-water-polo-light-skin-tone/person_playing_water_polo_flat_light.webp,no
