emoji_slug_hash,emoji_slug,filename,image_type,emoji_slug_only_hash,reason
-5563249596969535066,man-with-white-cane,man_with_white_cane_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-5351939366295738798,man-with-white-cane-facing-right,man_with_white_cane_facing_right_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-3739342141573213263,man-zombie,man_zombie_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-5382461188390768672,mango,mango_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-6672321327930313601,mans-shoe,mans_shoe_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
7528221240823277169,mantelpiece-clock,mantelpiece_clock_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-8605632150759674034,manual-wheelchair,manual_wheelchair_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
575507755639018116,map-of-japan,map_of_japan_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
2178298882738777865,maple-leaf,maple_leaf_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-5758529690441860870,maracas,maracas_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-411070931857982830,martial-arts-uniform,martial_arts_uniform_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
2796915360905494524,mate,mate_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
6457156816678401976,meat-on-bone,meat_on_bone_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-4863367219471383663,mechanic,mechanic_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
222911472626020409,mechanical-arm,mechanical_arm_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
661643762166943349,mechanical-leg,mechanical_leg_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-818637519774149470,medical-symbol,medical_symbol_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-6633968220588339877,megaphone,megaphone_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
3784495094892205480,melon,melon_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
3275025747223960364,melting-face,melting_face_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-7067418898861999916,memo,memo_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-47084121477754733,men-with-bunny-ears,man_with_bunny_ears_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
3695671569490547828,men-wrestling,man_wrestling_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-385910801666704904,mending-heart,mending_heart_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-6535243439156472496,menorah,menorah_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
2222544676002105304,mens-room,mens_room_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-1760558289159140847,mermaid,woman_merpeople_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
8253360236818515125,merman,man_merpeople_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
-10023529620523406,merperson,person_merpeople_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
4643716356334962490,metro,metro_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-5785849301331775872,microbe,microbe_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-7288576377569440337,microphone,microphone_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-4462350342369269505,microscope,microscope_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-42248341932790985,middle-finger,middle_finger_high_contrast_default.webp,ms-fluentui,,not_found_in_backup_db
4398816207166669983,middle-finger-dark-skin-tone,middle_finger_flat_dark.webp,ms-fluentui,,not_found_in_backup_db
4413103701603396626,middle-finger-light-skin-tone,middle_finger_flat_light.webp,ms-fluentui,,not_found_in_backup_db
5419121831301131852,middle-finger-medium-dark-skin-tone,middle_finger_flat_medium-dark.webp,ms-fluentui,,not_found_in_backup_db
7229446151636180330,middle-finger-medium-light-skin-tone,middle_finger_flat_light.webp,ms-fluentui,,not_found_in_backup_db
-5406182312644133709,middle-finger-medium-skin-tone,middle_finger_flat_medium.webp,ms-fluentui,,not_found_in_backup_db
-5120309675006570615,military-helmet,military_helmet_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
6645320003837181383,military-medal,military_medal_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
-6236953096435666565,milky-way,milky_way_high_contrast.webp,ms-fluentui,,not_found_in_backup_db
